map:159
grid4	-7337.0	3475.0
grid4	-7338.0	3472.0
grid4	-7341.0	3470.0
grid4	-7341.0	3468.0
grid4	-7342.0	3465.0
grid4	-7343.0	3465.0
grid4	-7343.0	3466.0
grid4	-7344.0	3466.0
grid4	-7345.0	3465.0
grid4	-7347.0	3463.0
grid4	-7348.0	3461.0
grid4	-7348.0	3459.0
grid4	-7350.0	3458.0
grid4	-7351.0	3452.0
grid4	-7354.0	3453.0
NA	NA	NA
grid5	-7251.0	3661.0
grid5	-7257.0	3688.0
grid5	-7257.0	3688.0
grid5	-7256.0	3688.0
grid5	-7255.0	3687.0
grid5	-7253.0	3687.0
grid5	-7252.0	3687.0
grid5	-7250.0	3687.0
grid5	-7248.0	3687.0
grid5	-7248.0	3687.0
grid5	-7246.0	3688.0
grid5	-7242.0	3689.0
grid5	-7241.0	3687.0
grid5	-7235.0	3685.0
grid5	-7231.0	3685.0
grid5	-7228.0	3684.0
grid5	-7228.0	3682.0
grid5	-7228.0	3679.0
grid5	-7228.0	3677.0
grid5	-7228.0	3674.0
grid5	-7224.0	3675.0
grid5	-7224.0	3674.0
grid5	-7225.0	3671.0
grid5	-7226.0	3670.0
grid5	-7225.0	3665.0
grid5	-7227.0	3664.0
grid5	-7226.0	3659.0
grid5	-7228.0	3660.0
grid5	-7229.0	3661.0
grid5	-7230.0	3663.0
grid5	-7231.0	3666.0
grid5	-7233.0	3667.0
grid5	-7233.0	3667.0
grid5	-7234.0	3667.0
grid5	-7236.0	3666.0
grid5	-7236.0	3665.0
grid5	-7237.0	3665.0
grid5	-7240.0	3664.0
grid5	-7244.0	3663.0
grid5	-7251.0	3661.0
NA	NA	NA
grid6	-7273.0	3810.0
grid6	-7276.0	3819.0
grid6	-7276.0	3822.0
grid6	-7270.0	3827.0
grid6	-7265.0	3833.0
grid6	-7258.0	3833.0
grid6	-7257.0	3833.0
grid6	-7257.0	3831.0
grid6	-7254.0	3830.0
grid6	-7253.0	3827.0
grid6	-7253.0	3825.0
grid6	-7253.0	3819.0
grid6	-7253.0	3815.0
grid6	-7253.0	3813.0
grid6	-7250.0	3810.0
grid6	-7248.0	3808.0
grid6	-7245.0	3807.0
grid6	-7255.0	3801.0
grid6	-7263.0	3808.0
grid6	-7268.0	3807.0
grid6	-7273.0	3811.0
grid6	-7273.0	3810.0
NA	NA	NA
grid7	-7288.0	3770.0
grid7	-7294.0	3778.0
grid7	-7294.0	3788.0
grid7	-7291.0	3792.0
grid7	-7288.0	3789.0
grid7	-7287.0	3788.0
grid7	-7286.0	3785.0
grid7	-7284.0	3785.0
grid7	-7275.0	3783.0
grid7	-7272.0	3783.0
grid7	-7267.0	3781.0
grid7	-7267.0	3773.0
grid7	-7275.0	3768.0
grid7	-7278.0	3768.0
grid7	-7279.0	3768.0
grid7	-7285.0	3766.0
grid7	-7288.0	3770.0
NA	NA	NA
grid8	-7404.0	3787.0
