map:46
1	area1
2	area2
3	area3
4	area4
5	area5
6	area6
7	area7
8	area8
9	area9
10	area10
11	area11
12	area12
13	area13
14	area14
15	area15
16	area16
17	area17
18	area18
19	area19
20	area20
21	area21
22	area22
23	area23
24	area24
25	area25
26	area26
27	area27
28	area28
29	area29
30	area30
31	area31
32	area32
33	area33
34	area34
35	area35
36	area36
37	area37
38	area38
39	area39
40	area40
41	area41
42	area42
43	area43
44	area44
45	area45
46	area46
area1	1248403.0	1312044.0
area1	1237140.0	1309969.0
area1	1233911.0	1311899.0
area1	1229831.0	1310277.0
area1	1224830.0	1303143.0
area1	1215680.0	1314895.0
area1	1211612.0	1316682.0
area1	1208429.0	1323087.0
area1	1242817.0	1358678.0
area1	1250137.0	1351347.0
area1	1243288.0	1342771.0
area1	1254236.0	1327281.0
area1	1253172.0	1317831.0
area1	1248403.0	1312044.0
NA	NA	NA
area2	1314393.0	1224113.0
area2	1304968.0	1228181.0
area2	1306092.0	1231487.0
area2	1303547.0	1232360.0
area2	1304167.0	1234903.0
area2	1301395.0	1233854.0
area2	1298056.0	1238368.0
area2	1295345.0	1237738.0
area2	1296104.0	1241361.0
area2	1293781.0	1244413.0
area2	1296890.0	1245792.0
area2	1294727.0	1247015.0
area2	1296192.0	1248284.0
area2	1294563.0	1250752.0
area2	1288599.0	1252888.0
area2	1284449.0	1258223.0
area2	1313504.0	1293660.0
area2	1319975.0	1301690.0
area2	1326590.0	1295278.0
area2	1332347.0	1293652.0
area2	1336778.0	1287748.0
area2	1358817.0	1282218.0
area2	1344679.0	1261776.0
area2	1314393.0	1224113.0
NA	NA	NA
area3	1379569.0	1214867.0
area3	1366678.0	1203573.0
area3	1367248.0	1199224.0
area3	1363729.0	1197048.0
area3	1366059.0	1191416.0
area3	1360173.0	1182571.0
area3	1354374.0	1178996.0
area3	1351531.0	1181288.0
area3	1352943.0	1182398.0
area3	1351438.0	1188532.0
area3	1347982.0	1189693.0
area3	1341263.0	1200827.0
area3	1342022.0	1206827.0
area3	1335705.0	1209798.0
area3	1329372.0	1214746.0
area3	1334895.0	1222615.0
area3	1351956.0	1219599.0
area3	1367296.0	1223361.0
area3	1379569.0	1214867.0
NA	NA	NA
area4	1208429.0	1323087.0
area4	1207180.0	1329029.0
area4	1204225.0	1331482.0
area4	1201761.0	1336567.0
area4	1197750.0	1338761.0
